height,weight,length,height_range,weight_range,
"5,2",87,135,,,
"5,2",88,135,,,
"5,2",89,135,,,
"5,2",90,136,,,
"5,2",91,136,,,
"5,2",92,136,,,
"5,2",93,136,,,
"5,2",94,136,,,
"5,2",95,137,,,
"5,2",96,137,,,
"5,2",97,137,,,
"5,2",97,137,,,
"5,2",99,137,,,
"5,2",100,138,,,
"5,2",101,138,,,
"5,2",102,138,,,
"5,2",103,138,,,
"5,2",104,138,,,
"5,2",105,139,,,
"5,2",106,139,,,
"5,2",107,139,,,
"5,2",108,139,,,
"5,2",109,139,,,
"5,2",110,140,,,
"5,2",111,140,,,
"5,2",112,140,,,
"5,2",113,140,,,
"5,2",114,140,,,
"5,2",115,141,,,
"5,2",116,141,,,
"5,2",117,141,,,
"5,2",118,141,,,
"5,2",119,141,,,
"5,2",120,142,,,
"5,2",121,142,,,
"5,2",122,142,,,
"5,2",123,142,,,
"5,2",124,142,,,
"5,2",125,142,,,
"5,2",126,142,,,
"5,2",127,142,,,
"5,2",128,142,,,
"5,2",129,142,,,
"5,2",130,142,,,
"5,3",71,133,,,
"5,3",72,133,,,
"5,3",73,133,,,
"5,3",74,134,,,
"5,3",75,134,,,
"5,3",76,134,,,
"5,3",77,134,,,
"5,3",78,134,,,
"5,3",79,134,,,
"5,3",80,135,,,
"5,3",81,135,,,
"5,3",82,135,,,
"5,3",83,135,,,
"5,3",84,135,,,
"5,3",85,136,,,
"5,3",86,136,,,
"5,3",87,136,,,
"5,3",88,136,,,
"5,3",89,136,,,
"5,3",90,137,,,
"5,3",91,137,,,
"5,3",92,137,,,
"5,3",93,137,,,
"5,3",94,137,,,
"5,3",95,138,,,
"5,3",96,138,,,
"5,3",97,138,,,
"5,3",97,138,,,
"5,3",99,138,,,
"5,3",100,139,,,
"5,3",101,139,,,
"5,3",102,139,,,
"5,3",103,139,,,
"5,3",104,139,,,
"5,3",105,140,,,
"5,3",106,140,,,
"5,3",107,140,,,
"5,3",108,140,,,
"5,3",109,140,,,
"5,3",110,141,,,
"5,3",111,141,,,
"5,3",112,141,,,
"5,3",113,141,,,
"5,3",114,141,,,
"5,3",115,142,,,
"5,3",116,142,,,
"5,3",117,142,,,
"5,3",118,142,,,
"5,3",119,142,,,
"5,3",120,143,,,
"5,3",121,143,,,
"5,3",122,143,,,
"5,3",123,143,,,
"5,3",124,143,,,
"5,3",125,143,,,
"5,3",126,143,,,
"5,3",127,143,,,
"5,3",128,143,,,
"5,3",129,143,,,
"5,3",130,143,,,
"5,4",71,134,,,
"5,4",72,134,,,
"5,4",73,134,,,
"5,4",74,135,,,
"5,4",75,135,,,
"5,4",76,135,,,
"5,4",77,135,,,
"5,4",78,135,,,
"5,4",79,136,,,
"5,4",80,136,,,
"5,4",81,136,,,
"5,4",82,136,,,
"5,4",83,136,,,
"5,4",84,136,,,
"5,4",85,137,,,
"5,4",86,137,,,
"5,4",87,137,,,
"5,4",88,137,,,
"5,4",89,137,,,
"5,4",90,138,,,
"5,4",91,138,,,
"5,4",92,138,,,
"5,4",93,138,,,
"5,4",94,138,,,
"5,4",95,139,,,
"5,4",96,139,,,
"5,4",97,139,,,
"5,4",97,139,,,
"5,4",99,139,,,
"5,4",100,140,,,
"5,4",101,140,,,
"5,4",102,140,,,
"5,4",103,140,,,
"5,4",104,140,,,
"5,4",105,141,,,
"5,4",106,141,,,
"5,4",107,141,,,
"5,4",108,141,,,
"5,4",109,141,,,
"5,4",110,142,,,
"5,4",111,142,,,
"5,4",112,142,,,
"5,4",113,142,,,
"5,4",114,142,,,
"5,4",115,143,,,
"5,4",116,143,,,
"5,4",117,143,,,
"5,4",118,143,,,
"5,4",119,143,,,
"5,4",120,144,,,
"5,4",121,144,,,
"5,4",122,144,,,
"5,4",123,144,,,
"5,4",124,144,,,
"5,4",125,144,,,
"5,4",126,145,,,
"5,4",127,145,,,
"5,4",128,145,,,
"5,4",129,145,,,
"5,4",130,145,,,
"5,5",80,136,,,
"5,5",81,136,,,
"5,5",82,136,,,
"5,5",83,136,,,
"5,5",84,136,,,
"5,5",85,137,,,
"5,5",86,137,,,
"5,5",87,137,,,
"5,5",88,137,,,
"5,5",89,137,,,
"5,5",90,138,,,
"5,5",91,138,,,
"5,5",92,138,,,
"5,5",93,138,,,
"5,5",94,138,,,
"5,5",95,139,,,
"5,5",96,139,,,
"5,5",97,139,,,
"5,5",97,139,,,
"5,5",99,139,,,
"5,5",100,140,,,
"5,5",101,140,,,
"5,5",102,140,,,
"5,5",103,140,,,
"5,5",104,140,,,
"5,5",105,141,,,
"5,5",106,141,,,
"5,5",107,141,,,
"5,5",108,141,,,
"5,5",109,141,,,
"5,5",110,142,,,
"5,5",111,142,,,
"5,5",112,142,,,
"5,5",113,142,,,
"5,5",114,142,,,
"5,5",115,143,,,
"5,5",116,143,,,
"5,5",117,143,,,
"5,5",118,143,,,
"5,5",119,143,,,
"5,5",120,144,,,
"5,5",121,144,,,
"5,5",122,144,,,
"5,5",123,144,,,
"5,5",124,144,,,
"5,5",125,144,,,
"5,5",126,145,,,
"5,5",127,145,,,
"5,5",128,145,,,
"5,5",129,145,,,
"5,5",130,145,,,
